date,location_id,latitude,longitude,city,region,year,month,day,day_of_week,is_weekend,is_holiday,temperature,gdp_growth,inflation_rate,workforce_demand,demand_lag_1,demand_lag_7,demand_lag_30,demand_rolling_7,demand_rolling_30,demand_rolling_90,quarter,week_of_year,days_from_start,temp_season_interaction,region_season_interaction,gdp_ma_30,inflation_ma_30,distance_from_delhi,business_count,traffic_density,avg_speed_kmph,population_density,avg_income,employment_rate,business_per_1k_population,economic_activity_index,accessibility_score,location_encoded,city_encoded,region_encoded
2022-02-18,LOC_001,28.6139,77.209,New Delhi,North,2022,2,18,4,0,0,18.3,0.0617,0.0419,29,23.0,33.0,35.0,27.0,29.3,30.775510204081634,1,7,48,36.6,2,0.059423333333333335,0.04008,0.0,410,0.43259261584491254,32,11320,45000,0.68,36.22,125.46,0.294,0,8,1
2022-02-19,LOC_001,28.6139,77.209,New Delhi,North,2022,2,19,5,1,0,22.5,0.0606,0.0343,16,29.0,18.0,36.0,26.714285714285715,28.633333333333333,30.48,1,7,49,45.0,2,0.05941333333333333,0.04022,0.0,482,0.5133660321522304,29,11320,45000,0.68,42.58,147.49,0.364,0,8,1
2022-02-20,LOC_001,28.6139,77.209,New Delhi,North,2022,2,20,6,1,0,23.7,0.0708,0.0453,21,16.0,19.0,34.0,27.0,28.2,30.294117647058822,1,7,50,47.4,2,0.05928,0.04048333333333333,0.0,475,0.6951863329257675,22,11320,45000,0.68,41.96,145.35,0.542,0,8,1
2022-02-21,LOC_001,28.6139,77.209,New Delhi,North,2022,2,21,0,0,0,19.2,0.0652,0.0426,20,21.0,28.0,21.0,25.857142857142858,28.166666666666668,30.096153846153847,1,8,51,38.4,2,0.05914666666666667,0.040516666666666666,0.0,413,0.701010257978613,21,11320,45000,0.68,36.48,126.38,0.554,0,8,1
2022-02-22,LOC_001,28.6139,77.209,New Delhi,North,2022,2,22,1,0,0,33.6,0.0657,0.0457,30,20.0,46.0,22.0,23.571428571428573,28.433333333333334,30.09433962264151,1,8,52,67.2,2,0.05930333333333333,0.04054666666666667,0.0,443,0.40373811543927196,33,11320,45000,0.68,39.13,135.56,0.271,0,8,1
2022-02-23,LOC_001,28.6139,77.209,New Delhi,North,2022,2,23,2,0,0,24.0,0.0568,0.0438,33,30.0,26.0,31.0,24.571428571428573,28.5,30.14814814814815,1,8,53,48.0,2,0.05932666666666666,0.040916666666666664,0.0,424,0.3823079343951171,34,11320,45000,0.68,37.46,129.74,0.252,0,8,1
2022-02-24,LOC_001,28.6139,77.209,New Delhi,North,2022,2,24,3,0,0,21.3,0.0551,0.0404,23,33.0,23.0,38.0,24.571428571428573,28.0,30.01818181818182,1,8,54,42.6,2,0.05916,0.04096999999999999,0.0,468,0.3220300553675284,37,11320,45000,0.68,41.34,143.21,0.203,0,8,1
2022-02-25,LOC_001,28.6139,77.209,New Delhi,North,2022,2,25,4,0,0,16.4,0.0669,0.0319,40,23.0,29.0,38.0,26.142857142857142,28.066666666666666,30.196428571428573,1,8,55,32.8,2,0.05950333333333334,0.040833333333333326,0.0,401,0.8216252649426736,17,11320,45000,0.68,35.42,122.71,0.682,0,8,1
2022-02-26,LOC_001,28.6139,77.209,New Delhi,North,2022,2,26,5,1,1,25.3,0.0606,0.0346,26,40.0,16.0,35.0,27.571428571428573,27.766666666666666,30.12280701754386,1,8,56,50.6,2,0.05889333333333333,0.04062333333333333,0.0,443,0.35639113986975157,35,11320,45000,0.68,39.13,135.56,0.232,0,8,1
2022-02-27,LOC_001,28.6139,77.209,New Delhi,North,2022,2,27,6,1,0,24.0,0.0527,0.0411,16,26.0,21.0,38.0,26.857142857142858,27.033333333333335,29.879310344827587,1,8,57,48.0,2,0.059289999999999995,0.040663333333333336,0.0,442,0.7168679676920632,21,11320,45000,0.68,39.05,135.25,0.566,0,8,1
2022-02-28,LOC_001,28.6139,77.209,New Delhi,North,2022,2,28,0,0,0,20.0,0.0814,0.0432,28,16.0,20.0,25.0,28.0,27.133333333333333,29.847457627118644,1,9,58,40.0,2,0.060066666666666664,0.04072,0.0,463,0.7358140998819079,20,11320,45000,0.68,40.9,141.68,0.589,0,8,1
2022-03-01,LOC_001,28.6139,77.209,New Delhi,North,2022,3,1,1,0,1,25.6,0.0534,0.0443,25,28.0,30.0,25.0,27.285714285714285,27.133333333333333,29.766666666666666,1,9,59,76.80000000000001,3,0.05946666666666667,0.040736666666666664,0.0,440,0.8757615626257889,14,11320,45000,0.68,38.87,134.64,0.753,0,8,1
2022-03-02,LOC_001,28.6139,77.209,New Delhi,North,2022,3,2,2,0,0,24.7,0.065,0.0443,23,25.0,33.0,41.0,25.857142857142858,26.533333333333335,29.65573770491803,1,9,60,74.1,3,0.059166666666666666,0.041113333333333335,0.0,418,0.7625238954449434,19,11320,45000,0.68,36.93,127.91,0.618,0,8,1
2022-03-03,LOC_001,28.6139,77.209,New Delhi,North,2022,3,3,3,0,0,24.0,0.0553,0.0367,21,23.0,23.0,46.0,25.571428571428573,25.7,29.516129032258064,1,9,61,72.0,3,0.05933999999999999,0.04109666666666666,0.0,471,0.5978062966603707,26,11320,45000,0.68,41.61,144.13,0.442,0,8,1
2022-03-04,LOC_001,28.6139,77.209,New Delhi,North,2022,3,4,4,0,0,26.2,0.0474,0.0446,37,21.0,40.0,28.0,25.142857142857142,26.0,29.634920634920636,1,9,62,78.6,3,0.059436666666666665,0.041240000000000006,0.0,470,0.7670593454167074,19,11320,45000,0.68,41.52,143.82,0.621,0,8,1
2022-03-05,LOC_001,28.6139,77.209,New Delhi,North,2022,3,5,5,1,0,28.1,0.0448,0.0376,27,37.0,26.0,22.0,25.285714285714285,26.166666666666668,29.59375,1,9,63,84.30000000000001,3,0.05923666666666667,0.040903333333333326,0.0,426,0.7255747354970878,20,11320,45000,0.68,37.63,130.36,0.58,0,8,1
2022-03-06,LOC_001,28.6139,77.209,New Delhi,North,2022,3,6,6,1,0,22.9,0.0644,0.0439,24,27.0,16.0,23.0,26.428571428571427,26.2,29.50769230769231,1,9,64,68.69999999999999,3,0.05911333333333334,0.041240000000000006,0.0,492,0.699974067152938,22,11320,45000,0.68,43.46,150.55,0.546,0,8,1
2022-03-07,LOC_001,28.6139,77.209,New Delhi,North,2022,3,7,0,0,0,24.8,0.0276,0.0349,22,24.0,28.0,20.0,25.571428571428573,26.266666666666666,29.393939393939394,1,10,65,74.4,3,0.058570000000000004,0.04103999999999999,0.0,491,0.48016528910100686,30,11320,45000,0.68,43.37,150.25,0.336,0,8,1
2022-03-08,LOC_001,28.6139,77.209,New Delhi,North,2022,3,8,1,0,0,21.3,0.0763,0.0328,26,22.0,25.0,20.0,25.714285714285715,26.466666666666665,29.34328358208955,1,10,66,63.900000000000006,3,0.059526666666666665,0.04102000000000001,0.0,401,0.3781591302063469,34,11320,45000,0.68,35.42,122.71,0.25,0,8,1
2022-03-09,LOC_001,28.6139,77.209,New Delhi,North,2022,3,9,2,0,0,25.4,0.0744,0.0328,25,26.0,23.0,30.0,26.0,26.3,29.279411764705884,1,10,67,76.19999999999999,3,0.05992333333333333,0.040723333333333334,0.0,411,0.8384428299416582,16,11320,45000,0.68,36.31,125.77,0.704,0,8,1
2022-03-10,LOC_001,28.6139,77.209,New Delhi,North,2022,3,10,3,0,0,25.0,0.0502,0.0423,34,25.0,21.0,24.0,27.857142857142858,26.633333333333333,29.347826086956523,1,10,68,75.0,3,0.0595,0.04092,0.0,457,0.5881055771915324,26,11320,45000,0.68,40.37,139.84,0.435,0,8,1
2022-03-11,LOC_001,28.6139,77.209,New Delhi,North,2022,3,11,4,0,0,23.2,0.0607,0.0381,29,34.0,37.0,38.0,26.714285714285715,26.333333333333332,29.34285714285714,1,10,69,69.6,3,0.059919999999999994,0.040746666666666674,0.0,493,0.43938106867036364,32,11320,45000,0.68,43.55,150.86,0.299,0,8,1
2022-03-12,LOC_001,28.6139,77.209,New Delhi,North,2022,3,12,5,1,0,27.0,0.0759,0.0338,20,29.0,27.0,22.0,25.714285714285715,26.266666666666666,29.211267605633804,1,10,70,81.0,3,0.06006333333333334,0.040676666666666667,0.0,421,0.6790991826284376,22,11320,45000,0.68,37.19,128.83,0.53,0,8,1
2022-03-13,LOC_001,28.6139,77.209,New Delhi,North,2022,3,13,6,1,0,19.1,0.0585,0.0429,27,20.0,24.0,33.0,26.142857142857142,26.066666666666666,29.180555555555557,1,10,71,57.300000000000004,3,0.05974,0.04045666666666667,0.0,412,0.6020327878329759,25,11320,45000,0.68,36.4,126.07,0.452,0,8,1
2022-03-14,LOC_001,28.6139,77.209,New Delhi,North,2022,3,14,0,0,0,23.1,0.0579,0.0375,29,27.0,22.0,18.0,27.142857142857142,26.433333333333334,29.17808219178082,1,11,72,69.30000000000001,3,0.05996666666666666,0.04051,0.0,464,0.4677732743393058,31,11320,45000,0.68,40.99,141.98,0.323,0,8,1
2022-03-15,LOC_001,28.6139,77.209,New Delhi,North,2022,3,15,1,0,1,27.5,0.0636,0.0365,36,29.0,26.0,19.0,28.571428571428573,27.0,29.27027027027027,1,11,73,82.5,3,0.05999333333333333,0.04025666666666667,0.0,463,0.733575273440318,20,11320,45000,0.68,40.9,141.68,0.587,0,8,1
2022-03-16,LOC_001,28.6139,77.209,New Delhi,North,2022,3,16,2,0,0,25.9,0.0681,0.0431,32,36.0,25.0,28.0,29.571428571428573,27.133333333333333,29.30666666666667,1,11,74,77.69999999999999,3,0.06035,0.03990666666666667,0.0,479,0.7280965034795555,20,11320,45000,0.68,42.31,146.57,0.582,0,8,1
2022-03-17,LOC_001,28.6139,77.209,New Delhi,North,2022,3,17,3,0,0,23.3,0.0675,0.0431,23,32.0,34.0,46.0,28.0,26.366666666666667,29.223684210526315,1,11,75,69.9,3,0.060956666666666666,0.03993,0.0,483,0.5164597747978139,29,11320,45000,0.68,42.67,147.8,0.367,0,8,1
2022-03-18,LOC_001,28.6139,77.209,New Delhi,North,2022,3,18,4,0,0,25.4,0.0728,0.037,27,23.0,29.0,26.0,27.714285714285715,26.4,29.194805194805195,1,11,76,76.19999999999999,3,0.061226666666666665,0.039843333333333335,0.0,431,0.37775952669046614,34,11320,45000,0.68,38.07,131.89,0.249,0,8,1
2022-03-19,LOC_001,28.6139,77.209,New Delhi,North,2022,3,19,5,1,0,24.4,0.0578,0.0455,21,27.0,20.0,23.0,27.857142857142858,26.333333333333332,29.08974358974359,1,11,77,73.19999999999999,3,0.061303333333333335,0.03988333333333333,0.0,497,0.8015358446809953,17,11320,45000,0.68,43.9,152.08,0.665,0,8,1
2022-03-20,LOC_001,28.6139,77.209,New Delhi,North,2022,3,20,6,1,0,27.4,0.0731,0.0401,22,21.0,27.0,29.0,27.142857142857142,26.1,29.0,1,11,78,82.19999999999999,3,0.06168333333333333,0.039823333333333336,0.0,485,0.7122281384210513,21,11320,45000,0.68,42.84,148.41,0.563,0,8,1
2022-03-21,LOC_001,28.6139,77.209,New Delhi,North,2022,3,21,0,0,0,24.1,0.0632,0.0393,31,22.0,29.0,16.0,27.428571428571427,26.6,29.025,1,12,79,72.30000000000001,3,0.06177,0.03999,0.0,480,0.7297914324692025,20,11320,45000,0.68,42.4,146.88,0.584,0,8,1
2022-03-22,LOC_001,28.6139,77.209,New Delhi,North,2022,3,22,1,0,0,26.8,0.0518,0.0505,28,31.0,36.0,21.0,26.285714285714285,26.833333333333332,29.012345679012345,1,12,80,80.4,3,0.061136666666666666,0.040163333333333336,0.0,490,0.3300805585884985,36,11320,45000,0.68,43.29,149.94,0.211,0,8,1
2022-03-23,LOC_001,28.6139,77.209,New Delhi,North,2022,3,23,2,0,0,21.4,0.0716,0.044,22,28.0,32.0,20.0,24.857142857142858,26.9,28.926829268292682,1,12,81,64.19999999999999,3,0.06135,0.040209999999999996,0.0,494,0.846307966037471,16,11320,45000,0.68,43.64,151.16,0.711,0,8,1
2022-03-24,LOC_001,28.6139,77.209,New Delhi,North,2022,3,24,3,0,0,26.9,0.0599,0.0355,31,22.0,23.0,30.0,26.0,26.933333333333334,28.951807228915662,1,12,82,80.69999999999999,3,0.061156666666666665,0.039869999999999996,0.0,492,0.7283839248434287,20,11320,45000,0.68,43.46,150.55,0.583,0,8,1
2022-03-25,LOC_001,28.6139,77.209,New Delhi,North,2022,3,25,4,0,0,23.0,0.0698,0.0393,28,31.0,27.0,33.0,26.142857142857142,26.766666666666666,28.94047619047619,1,12,83,69.0,3,0.061590000000000006,0.03972,0.0,457,0.869897182034651,15,11320,45000,0.68,40.37,139.84,0.739,0,8,1
2022-03-26,LOC_001,28.6139,77.209,New Delhi,North,2022,3,26,5,1,1,24.0,0.0641,0.0372,24,28.0,21.0,23.0,26.571428571428573,26.8,28.88235294117647,1,12,84,72.0,3,0.06189,0.03961333333333334,0.0,429,0.8081889487302631,17,11320,45000,0.68,37.9,131.27,0.671,0,8,1
2022-03-27,LOC_001,28.6139,77.209,New Delhi,North,2022,3,27,6,1,0,25.7,0.0624,0.0375,16,24.0,22.0,40.0,25.714285714285715,26.0,28.732558139534884,1,12,85,77.1,3,0.061739999999999996,0.039799999999999995,0.0,482,0.7118535304886573,21,11320,45000,0.68,42.58,147.49,0.562,0,8,1
2022-03-28,LOC_001,28.6139,77.209,New Delhi,North,2022,3,28,0,0,0,25.7,0.0455,0.033,25,16.0,31.0,26.0,24.857142857142858,25.966666666666665,28.689655172413794,1,13,86,77.1,3,0.06123666666666667,0.03974666666666667,0.0,427,0.3074638061068459,37,11320,45000,0.68,37.72,130.66,0.194,0,8,1
2022-03-29,LOC_001,28.6139,77.209,New Delhi,North,2022,3,29,1,0,0,24.4,0.0631,0.0474,24,25.0,28.0,16.0,24.285714285714285,26.233333333333334,28.636363636363637,1,13,87,73.19999999999999,3,0.06158333333333333,0.03995666666666666,0.0,415,0.6400710405286212,24,11320,45000,0.68,36.66,126.99,0.486,0,8,1
2022-03-30,LOC_001,28.6139,77.209,New Delhi,North,2022,3,30,2,0,0,24.5,0.0598,0.035,32,24.0,22.0,28.0,25.714285714285715,26.366666666666667,28.674157303370787,1,13,88,73.5,3,0.06086333333333334,0.039683333333333334,0.0,473,0.7532380817904943,19,11320,45000,0.68,41.78,144.74,0.61,0,8,1
2022-03-31,LOC_001,28.6139,77.209,New Delhi,North,2022,3,31,3,0,0,24.1,0.0632,0.0359,27,32.0,31.0,25.0,25.142857142857142,26.433333333333334,28.655555555555555,1,13,89,72.30000000000001,3,0.061189999999999994,0.03940333333333334,0.0,496,0.39085137368210265,34,11320,45000,0.68,43.82,151.78,0.258,0,8,1
2022-04-01,LOC_001,28.6139,77.209,New Delhi,North,2022,4,1,4,0,1,34.6,0.0589,0.042,50,27.0,28.0,23.0,28.285714285714285,27.333333333333332,28.755555555555556,2,13,90,138.4,4,0.06098666666666666,0.03932666666666666,0.0,451,0.761881099511033,19,11320,45000,0.68,39.84,138.01,0.617,0,8,1
2022-04-02,LOC_001,28.6139,77.209,New Delhi,North,2022,4,2,5,1,0,28.8,0.0622,0.0401,24,50.0,24.0,21.0,28.285714285714285,27.433333333333334,28.755555555555556,2,13,91,115.2,4,0.06121666666666667,0.03944,0.0,463,0.6822141073693447,22,11320,45000,0.68,40.9,141.68,0.532,0,8,1
2022-04-03,LOC_001,28.6139,77.209,New Delhi,North,2022,4,3,6,1,0,27.7,0.0602,0.0425,22,24.0,16.0,37.0,29.142857142857142,26.933333333333334,28.644444444444446,2,13,92,110.8,4,0.061643333333333335,0.039369999999999995,0.0,493,0.7160763315328389,21,11320,45000,0.68,43.55,150.86,0.566,0,8,1
2022-04-04,LOC_001,28.6139,77.209,New Delhi,North,2022,4,4,0,0,0,32.9,0.0815,0.0362,39,22.0,25.0,27.0,31.142857142857142,27.333333333333332,28.666666666666668,2,14,93,131.6,4,0.06286666666666667,0.039323333333333335,0.0,473,0.6235282157515794,25,11320,45000,0.68,41.78,144.74,0.468,0,8,1
2022-04-05,LOC_001,28.6139,77.209,New Delhi,North,2022,4,5,1,0,0,30.6,0.0819,0.036,36,39.0,24.0,24.0,32.857142857142854,27.733333333333334,28.744444444444444,2,14,94,122.4,4,0.06344999999999999,0.03906,0.0,462,0.534232653270776,28,11320,45000,0.68,40.81,141.37,0.385,0,8,1
2022-04-06,LOC_001,28.6139,77.209,New Delhi,North,2022,4,6,2,0,0,28.2,0.0388,0.0374,25,36.0,32.0,22.0,31.857142857142858,27.833333333333332,28.511111111111113,2,14,95,112.8,4,0.06382333333333333,0.039143333333333336,0.0,485,0.3236292739639302,37,11320,45000,0.68,42.84,148.41,0.204,0,8,1
2022-04-07,LOC_001,28.6139,77.209,New Delhi,North,2022,4,7,3,0,0,30.5,0.0634,0.0494,26,25.0,27.0,26.0,31.714285714285715,27.833333333333332,28.444444444444443,2,14,96,122.0,4,0.06339333333333333,0.039696666666666665,0.0,470,0.869130996581758,15,11320,45000,0.68,41.52,143.82,0.739,0,8,1
2022-04-08,LOC_001,28.6139,77.209,New Delhi,North,2022,4,8,4,0,0,28.3,0.051,0.0425,36,26.0,50.0,25.0,29.714285714285715,28.2,28.6,2,14,97,113.2,4,0.06261333333333334,0.04001999999999999,0.0,473,0.4564661504725483,31,11320,45000,0.68,41.78,144.74,0.315,0,8,1
2022-04-09,LOC_001,28.6139,77.209,New Delhi,North,2022,4,9,5,1,0,35.5,0.0718,0.0377,16,36.0,24.0,34.0,28.571428571428573,27.6,28.5,2,14,98,142.0,4,0.06333333333333334,0.03986666666666667,0.0,474,0.5337674098996084,28,11320,45000,0.68,41.87,145.04,0.384,0,8,1
2022-04-10,LOC_001,28.6139,77.209,New Delhi,North,2022,4,10,6,1,0,34.1,0.0589,0.0462,14,16.0,22.0,29.0,27.428571428571427,27.1,28.244444444444444,2,14,99,136.4,4,0.06327333333333333,0.04013666666666667,0.0,483,0.5741539002417074,27,11320,45000,0.68,42.67,147.8,0.419,0,8,1
2022-04-11,LOC_001,28.6139,77.209,New Delhi,North,2022,4,11,0,0,0,28.2,0.0601,0.0402,21,14.0,39.0,20.0,24.857142857142858,27.133333333333333,28.022222222222222,2,15,100,112.8,4,0.06274666666666667,0.040350000000000004,0.0,454,0.32878809997091235,36,11320,45000,0.68,40.11,138.92,0.21,0,8,1
2022-04-12,LOC_001,28.6139,77.209,New Delhi,North,2022,4,12,1,0,0,31.9,0.0493,0.0393,28,21.0,36.0,27.0,23.714285714285715,27.166666666666668,28.055555555555557,2,15,101,127.6,4,0.06244,0.040229999999999995,0.0,454,0.6885518307189777,22,11320,45000,0.68,40.11,138.92,0.537,0,8,1
2022-04-13,LOC_001,28.6139,77.209,New Delhi,North,2022,4,13,2,0,0,31.5,0.0671,0.0344,31,28.0,25.0,29.0,24.571428571428573,27.233333333333334,27.977777777777778,2,15,102,126.0,4,0.06274666666666667,0.040126666666666665,0.0,479,0.8695446287978319,15,11320,45000,0.68,42.31,146.57,0.739,0,8,1
2022-04-14,LOC_001,28.6139,77.209,New Delhi,North,2022,4,14,3,0,0,33.8,0.0633,0.0363,21,31.0,26.0,36.0,23.857142857142858,26.733333333333334,27.866666666666667,2,15,103,135.2,4,0.06273666666666668,0.04012,0.0,428,0.48035597219529247,30,11320,45000,0.68,37.81,130.97,0.336,0,8,1
2022-04-15,LOC_001,28.6139,77.209,New Delhi,North,2022,4,15,4,0,1,30.3,0.0718,0.0403,59,21.0,36.0,32.0,27.142857142857142,27.633333333333333,28.177777777777777,2,15,104,121.2,4,0.06286,0.04002666666666666,0.0,450,0.833914484904696,16,11320,45000,0.68,39.75,137.7,0.7,0,8,1
2022-04-16,LOC_001,28.6139,77.209,New Delhi,North,2022,4,16,5,1,0,35.3,0.0575,0.0449,30,59.0,16.0,23.0,29.142857142857142,27.866666666666667,28.255555555555556,2,15,105,141.2,4,0.06252666666666666,0.04008666666666667,0.0,420,0.7783439531236802,18,11320,45000,0.68,37.1,128.52,0.638,0,8,1
2022-04-17,LOC_001,28.6139,77.209,New Delhi,North,2022,4,17,6,1,0,34.1,0.0504,0.0434,24,30.0,14.0,27.0,30.571428571428573,27.766666666666666,28.055555555555557,2,15,106,136.4,4,0.061779999999999995,0.040299999999999996,0.0,486,0.5438267220812023,28,11320,45000,0.68,42.93,148.72,0.392,0,8,1
2022-04-18,LOC_001,28.6139,77.209,New Delhi,North,2022,4,18,0,0,0,24.7,0.0482,0.0298,37,24.0,21.0,21.0,32.857142857142854,28.3,28.044444444444444,2,16,107,98.8,4,0.06146,0.03977666666666667,0.0,474,0.40367352274003704,33,11320,45000,0.68,41.87,145.04,0.27,0,8,1
2022-04-19,LOC_001,28.6139,77.209,New Delhi,North,2022,4,19,1,0,0,32.2,0.075,0.0404,29,37.0,28.0,22.0,33.0,28.533333333333335,27.977777777777778,2,16,108,128.8,4,0.06152333333333333,0.039786666666666665,0.0,453,0.4394516799994692,32,11320,45000,0.68,40.02,138.62,0.299,0,8,1
2022-04-20,LOC_001,28.6139,77.209,New Delhi,North,2022,4,20,2,0,0,25.9,0.043,0.0397,40,29.0,31.0,31.0,34.285714285714285,28.833333333333332,28.022222222222222,2,16,109,103.6,4,0.060849999999999994,0.03980000000000001,0.0,485,0.5569687647842927,27,11320,45000,0.68,42.84,148.41,0.407,0,8,1
